Source,Target,Weight,Type
43207,46675-0,3,undirected
Twain, Mark_Quotations from the Project Gutenberg Editions of the Works of Mark Twain,Twain, Mark_Quotes and Images From The Works of Mark Twain,4,undirected
Twain, Mark_Quotations from the Project Gutenberg Editions of the Works of Mark Twain,Twain, Mark_The Curious Republic of Gondour, and Other Whimsical Sketches,3,undirected
Twain, Mark_Quotes and Images From The Works of Mark Twain,Twain, Mark_Fenimore Cooper's Literary Offences,1,undirected
Twain, Mark_Quotes and Images From The Works of Mark Twain,Twain, Mark_On the Decay of the Art of Lying,6,undirected
Twain, Mark_Quotes and Images From The Works of Mark Twain,Twain, Mark_Quotations from the Project Gutenberg Editions of the Works of Mark Twain,4,undirected
Twain, Mark_Roughing It, Part 3.,Twain, Mark_A Tramp Abroad - Volume 03,1,undirected
Twain, Mark_Roughing It, Part 3.,Twain, Mark_Roughing It, Part 7.,2,undirected
Twain, Mark_Roughing It, Part 3.,Twain, Mark_The Innocents Abroad,3,undirected
Twain, Mark_Roughing It, Part 7.,5808,3,undirected
Twain, Mark_Roughing It, Part 7.,5812,3,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 3.,1,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_A Tramp Abroad - Volume 03,3,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_Editorial Wild Oats,2,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_Life on the Mississippi, Part 6.,2,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_Roughing It, Part 3.,2,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_Sketches New and Old, Part 1.,3,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_Sketches New and Old, Part 5.,1,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_The Adventures of Tom Sawyer, Part 4.,3,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_The Curious Republic of Gondour, and Other Whimsical Sketches,3,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_The Innocents Abroad - Volume 01,1,undirected
Twain, Mark_Roughing It, Part 7.,Twain, Mark_The Innocents Abroad - Volume 05,1,undirected
Twain, Mark_Sketches New and Old, Part 1.,Twain, Mark_A Double Barrelled Detective Story,1,undirected
Twain, Mark_Sketches New and Old, Part 1.,Twain, Mark_Life on the Mississippi, Part 2.,3,undirected
Twain, Mark_Sketches New and Old, Part 1.,Twain, Mark_Roughing It, Part 7.,3,undirected
Twain, Mark_Sketches New and Old, Part 1.,Twain, Mark_The Adventures of Tom Sawyer, Part 8.,1,undirected
Twain, Mark_Sketches New and Old, Part 1.,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,2,undirected
Twain, Mark_Sketches New and Old, Part 5.,Twain, Mark_Alonzo Fitz, and Other Stories,4,undirected
